Total,1,2,3,4,5,6,7,8,9,10
1,1.07,0.1575,1.05,0.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1575,1.05,1.0425,0.54,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1675,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.1975,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.1975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.2075,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.2175,1.05,1.0425,1.04,1.0325,0.6575,1.03,1.06,1.035
2,1.07,0.2175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.2375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.2575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,1.07,0.2875,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.32,1.035
2,1.07,0.3175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.3275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.3375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.3575,1.05,1.0425,0.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.3875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.3975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.035
1,1.07,0.3975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.4175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.155
1,1.07,0.4175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.4275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.4375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.07,0.4475,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.4675,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.4975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.5075,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5275,1.05,1.0425,0.99,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5375,1.05,1.0425,1.04,1.0325,0.0375,1.03,1.06,1.035
1,1.07,0.5475,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.5575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5675,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5775,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5775,1.05,1.0425,1.04,0.4725,1.0375,1.03,1.06,1.035
2,1.07,0.5775,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.5975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.6375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.6475,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.6575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.6675,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.07,0.6775,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.6875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7075,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
3,1.07,0.7075,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7475,1.05,1.0425,0.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7575,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.34,1.035
1,1.07,0.7575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.7975,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.8175,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.8275,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
2,1.07,0.8375,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
3,1.07,0.8575,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
1,1.07,0.8875,1.05,1.0425,1.04,0.7325,1.0375,1.03,1.06,1.035
1,1.07,0.8875,1.05,1.0425,1.04,1.0325,1.0375,0.03,1.06,1.035
1,1.07,0.8875,1.05,1.0425,1.04,1.0325,1.0375,1.03,0.06,1.035
1,1.07,0.8875,1.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,0.865
1,1.07,0.9275,0.05,1.0425,1.04,1.0325,1.0375,1.03,1.06,1.035
